Test num;CONF;TEST DESC;TCP;QUIC;WINNER
1;OPTIM.;10x64B;2,026181;2,023535;QUIC
2;OPTIM.;10x1000B;2,024327;2,028;TCP
3;OPTIM.;10x5000B;2,026547;2,03015;TCP
4;OPTIM.;50x64B;10,144746;10,134251;QUIC
5;OPTIM.;50X1000B;10,10697;11,626586;TCP
6;OPTIM.;50x5000B;10,118003;10,16175;TCP
7;OPTIM.;100X64B;20,215561;20,268603;TCP
8;OPTIM.;100x1000B;20,215814;20,261283;TCP
9;OPTIM.;100x5000B;20,22723;20,481267;TCP
10;DEFAU.;10x64B;2,026181;2,024397;QUIC
11;DEFAU.;10x1000B;2,024327;2,025834;TCP
12;DEFAU.;10x5000B;2,026547;2,027578;TCP
13;DEFAU.;50x64B;10,144746;10,140084;QUIC
14;DEFAU.;50X1000B;10,10697;10,145088;TCP
15;DEFAU.;50x5000B;10,118003;10,157224;TCP
16;DEFAU.;100X64B;20,215561;20,273007;TCP
17;DEFAU.;100x1000B;20,215814;20,268624;TCP
18;DEFAU.;100x5000B;20,22723;20,30485;TCP
